State,Year,Transportation (MtCO2e)
NM,2009,14.41194103
NM,2010,14.03574271
NY,1995,67.01037829
NY,1996,70.29700336
NY,1997,70.25935891
NY,1998,70.77112995
NY,1999,71.01323896
NY,2000,71.27482792
NY,2001,70.99110373
NY,2002,72.30591817
NY,2003,76.49817172
NY,2004,78.41875802
NY,2005,76.52135255
NY,2006,77.33763439
NY,2007,76.72015264
NY,2008,77.0637187
NY,2009,74.420601
NY,2010,70.32054209
NC,1995,45.74474591
NC,1996,48.29377523
NC,1997,49.1500621
NC,1998,50.25057811
NC,1999,51.15743893
NC,2000,52.77343761
NC,2001,51.8806913
NC,2002,52.23340736
NC,2003,52.558937
NC,2004,54.33121494
NC,2005,55.58667597
NC,2006,54.85592645
NC,2007,56.50622719
NC,2008,55.37394965
NC,2009,50.12332182
NC,2010,50.12343787
ND,1995,5.371997877
ND,1996,5.502710011
ND,1997,5.591480508
ND,1998,5.027982939
ND,1999,5.931554755
ND,2000,5.797295065
ND,2001,6.258042157
ND,2002,6.205735541
ND,2003,6.223690584
ND,2004,6.51568055
ND,2005,6.43432921
ND,2006,6.385560242
ND,2007,7.273591649
ND,2008,6.667826733
ND,2009,6.060030433
ND,2010,7.055898059
OH,1995,63.16241259
OH,1996,66.26877416
OH,1997,68.01686588
OH,1998,68.79972872
OH,1999,70.4855128
OH,2000,72.22508883
OH,2001,71.81807774
OH,2002,72.10272751
OH,2003,72.01618728
OH,2004,74.13516777
OH,2005,73.49315837
OH,2006,74.0694404
OH,2007,74.62406406
OH,2008,69.68982941
OH,2009,65.18578012
OH,2010,66.89785232
OK,1995,26.67678336
OK,1996,28.22327939
OK,1997,27.98013703
OK,1998,28.54705569
OK,1999,29.76035605
OK,2000,31.68521964
OK,2001,34.47303289
OK,2002,32.22485733
OK,2003,32.3172303
OK,2004,30.1400591
OK,2005,31.74979808
OK,2006,32.63039218
OK,2007,33.27077926
OK,2008,33.82592863
OK,2009,29.68101665
OK,2010,29.32363515
OR,1995,22.33440757
OR,1996,23.12293493
OR,1997,23.30725454
OR,1998,24.31878815
OR,1999,24.53612288
OR,2000,23.78406069
OR,2001,22.69647019
OR,2002,23.00798086
OR,2003,22.72104224
OR,2004,23.65298603
OR,2005,24.10169742
OR,2006,24.56932542
OR,2007,25.06698484
OR,2008,23.56796951
OR,2009,23.3341679
OR,2010,22.15714778
PA,1995,66.72457072
PA,1996,66.38697242
PA,1997,69.16255785
PA,1998,71.26571884
PA,1999,71.75206012
PA,2000,73.81345329
PA,2001,73.46638876
PA,2002,73.55332518
PA,2003,71.84124462
PA,2004,73.81300071
PA,2005,74.98677038
PA,2006,74.34057171
PA,2007,73.8735133
PA,2008,69.80729308
PA,2009,67.97977215
PA,2010,67.89967157
RI,1995,4.382084809
RI,1996,4.432567541
RI,1997,4.88896523
RI,1998,4.767148579
RI,1999,4.939923368
RI,2000,4.913696625
RI,2001,4.926423602
RI,2002,4.862809128
RI,2003,4.745234799
RI,2004,4.583816891
RI,2005,4.529971108
RI,2006,4.586462123
RI,2007,4.505869698
RI,2008,4.306419201
RI,2009,4.370696388
RI,2010,4.325341633
SC,1995,24.16358745
SC,1996,24.71983385
SC,1997,25.78545782
SC,1998,27.2068505
SC,1999,27.93819126
SC,2000,28.48843456
SC,2001,28.71938197
SC,2002,29.20104446
SC,2003,29.16992661
SC,2004,33.29636049
SC,2005,31.57796905
SC,2006,32.96313319
SC,2007,32.98714484
SC,2008,31.77143434
SC,2009,31.96357133
SC,2010,32.10761507
SD,1995,5.849595466
SD,1996,5.845255887
SD,1997,5.696970453
SD,1998,5.864069463
SD,1999,6.006734811
SD,2000,6.093670428
SD,2001,5.997864882
SD,2002,6.503290965
SD,2003,6.02880685
SD,2004,6.186199437
SD,2005,6.275214334
SD,2006,6.302149929
SD,2007,6.555676465
SD,2008,6.275020487
SD,2009,6.450548227
SD,2010,6.614735788
TN,1995,39.23142421
TN,1996,40.56033241
TN,1997,40.94477215
TN,1998,41.85186582
TN,1999,43.03662888
TN,2000,43.68097757
TN,2001,43.42208411
TN,2002,45.73235281
TN,2003,46.39671023
TN,2004,46.80095462
TN,2005,46.90765828
TN,2006,47.11844464
TN,2007,47.33820616
TN,2008,43.57697334
TN,2009,41.51522741
TN,2010,42.44416164
TX,1995,160.6412156
TX,1996,174.0768529
TX,1997,178.9028114
TX,1998,188.0259655
TX,1999,186.3758092
TX,2000,190.3814575
TX,2001,197.7611554
TX,2002,204.0325177
TX,2003,195.7902281
TX,2004,198.9830669
TX,2005,199.9868699
TX,2006,207.112878
TX,2007,209.2181214
TX,2008,204.2167409
TX,2009,194.0078297
TX,2010,198.1567544
UT,1995,13.64413745
UT,1996,14.29094086
UT,1997,14.89906216
UT,1998,15.14912172
UT,1999,15.6242326
UT,2000,16.45363526
UT,2001,15.78590836
UT,2002,16.32464286
UT,2003,16.40598055
UT,2004,17.13064528
UT,2005,17.24779204
UT,2006,18.98795139
UT,2007,18.93094099
UT,2008,17.70148433
UT,2009,16.84436276
UT,2010,16.63465696
VT,1995,3.790909448
VT,1996,3.932305795
VT,1997,3.86185478
VT,1998,3.816441224
VT,1999,3.969149367
VT,2000,3.908922009
VT,2001,3.988275849
VT,2002,3.905566334
VT,2003,3.890680003
VT,2004,3.993611949
VT,2005,4.01574476
VT,2006,4.030550451
VT,2007,3.981820227
VT,2008,3.705112049
VT,2009,3.734171724
VT,2010,3.62217734
VA,1995,45.14242389
VA,1996,45.576428
VA,1997,46.89540462
VA,1998,47.56031979
VA,1999,48.3740203
VA,2000,50.9744187
VA,2001,50.83715135
VA,2002,50.89744668
VA,2003,52.19228773
VA,2004,56.48069598
VA,2005,57.32975193
VA,2006,58.42691112
VA,2007,58.52087711
VA,2008,54.54944063
VA,2009,52.03840636
VA,2010,51.78335132
WA,1995,47.25985948
WA,1996,46.61037066
WA,1997,47.71269298
WA,1998,45.02070638
WA,1999,45.75693226
WA,2000,46.55436687
WA,2001,44.46335269
WA,2002,43.03385217
WA,2003,42.75689162
WA,2004,44.57612186
WA,2005,44.76383045
WA,2006,45.91577548
WA,2007,48.85658078
WA,2008,44.39438104
WA,2009,43.22105238
WA,2010,42.8328229
WV,1995,12.8901557
WV,1996,11.66545129
WV,1997,12.69567838
WV,1998,13.29228361
WV,1999,12.93554496
WV,2000,13.30996793
WV,2001,13.0989818
WV,2002,12.89491019
WV,2003,12.15963539
WV,2004,12.90367655
WV,2005,13.03873834
WV,2006,12.9512465
WV,2007,12.83403039
WV,2008,11.37712847
WV,2009,11.58856497
WV,2010,11.89161726
WI,1995,29.36790759
WI,1996,29.79836005
WI,1997,29.9603824
WI,1998,31.57370207
WI,1999,32.22378908
WI,2000,31.5710915
WI,2001,31.33424539
WI,2002,31.28819286
WI,2003,30.61097279
WI,2004,32.04963431
WI,2005,31.44693405
WI,2006,31.82220376
WI,2007,31.98536661
WI,2008,31.39873428
WI,2009,30.30967497
WI,2010,30.96127092
WY,1995,7.034736273
WY,1996,7.046070017
WY,1997,7.160724702
WY,1998,7.369565932
WY,1999,8.351180188
WY,2000,7.866493888
WY,2001,8.031258532
WY,2002,7.95823129
WY,2003,8.605170972
WY,2004,8.331457324
WY,2005,8.530134225
WY,2006,8.793906332
WY,2007,9.031962755
WY,2008,9.110829323
WY,2009,8.547870894
WY,2010,8.535101548
US,1995,1774.195119
US,1996,1823.60131
US,1997,1844.654644
US,1998,1881.923256
US,1999,1925.937664
US,2000,1967.25288
US,2001,1942.040682
US,2002,1976.191028
US,2003,1976.399716
US,2004,2034.526457
US,2005,2057.317465
US,2006,2081.914662
US,2007,2092.918202
US,2008,1983.312799
US,2009,1898.916117
US,2010,1914.949116
"Climate Analysis Indicators Tool (CAIT) 2.0. å©2013. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org. Please also consider citing original data sources. Full citations are available at http://cait.wri.org.",,
